#	Trait	SNP rs	Context	Gene	Gene ID	Gene 2	Gene ID 2	Chromosome	Location	P-Value	Source	PubMed	Analysis ID	Study ID	Study Name
1	Eye Color	12913832	intron	HERC2	8924	HERC2	8924	15	28365618	1e-300	NHGRI	20463881			
2	Eye Color	12913832	intron	HERC2	8924	HERC2	8924	15	28365618	1e-300	NHGRI	20585627			
3	Eye Color	1667394	intron	HERC2	8924	HERC2	8924	15	28530182	1e-241	NHGRI	17952075			
4	Glucose Tolerance Test	560887	intron	G6PC2	57818	G6PC2	57818	2	169763148	9e-218	NHGRI	20081858			
5	Electrocardiography	174547	intron	FADS1	3992	FADS1	3992	11	61570783	7e-179	NHGRI	20037589			
6	Glucose Tolerance Test	10830963	intron	MTNR1B	4544	MTNR1B	4544	11	92708710	6e-175	NHGRI	20081858			
7	Hair Color	1805007	missense	MC1R	4157	MC1R	4157	16	89986117	2e-142	NHGRI	17952075			
8	Hair Color	12203592	intron	IRF4	3662	IRF4	3662	6	396321	7e-127	NHGRI	18483556			
9	gamma-Glutamyltransferase	2074356	intron	C12orf51	283450	C12orf51	283450	12	112645401	3e-126	NHGRI	21909109			
10	Fibrinogen	7681423	intergenic	FGG	2266	LRAT	9227	4	155542248	1e-109	NHGRI	21757653			
11	gamma-Glutamyltransferase	2073398	intron	GGT1	2678	GGT1	2678	22	24999104	1e-109	NHGRI	22001757			
12	Hemoglobin A, Glycosylated	713598	missense	TAS2R38	5726	TAS2R38	5726	7	141673345	2e-104	NHGRI	20675712			
13	Hair Color	12913832	intron	HERC2	8924	HERC2	8924	15	28365618	4e-103	NHGRI	18483556			
14	Hippocampus	10505516	intergenic	PVT1	5820	GSDMC	56169	8	129480537	7.52975034704143e-96	dbGaP	17903297	1914	7	Framingham Cohort
15	Hippocampus	10505516	intergenic	PVT1	5820	GSDMC	56169	8	129480537	7.52975034704143e-96	dbGaP	17903297	1914	342	NHLBI Framingham SNP Health Association Resource (SHARe)
16	Glomerulonephritis, Membranous	2187668	intron	HLA-DQA1	3117	HLA-DQA1	3117	6	32605884	8e-93	NHGRI	21323541			
17	Glucose Tolerance Test	4607517	intergenic	GCK	2645	YKT6	10652	7	44235668	7e-92	NHGRI	20081858			
18	Fibrinogen	6050	missense	FGA	2243	FGA	2243	4	155507590	9e-90	NHGRI	21757653			
19	Hair Color	12913832	intron	HERC2	8924	HERC2	8924	15	28365618	9e-88	NHGRI	20585627			
20	Hair Color	12931267	intron	FANCA	2175	FANCA	2175	16	89818732	5e-87	NHGRI	20585627			
21	Erythrocyte Indices	4895441	intergenic	HBS1L	10767	MYB	4602	6	135426573	7e-86	NHGRI	19862010			
22	E-Selectin	651007	intergenic	ABO	28	LCN1L2	653163	9	136153875	2e-82	NHGRI	20147318			
23	Electrocardiography	12143842	intergenic	OLFML2B	25903	NOS1AP	9722	1	162033890	2e-78	NHGRI	19305408			
24	Electrocardiography	12143842	intergenic	OLFML2B	25903	NOS1AP	9722	1	162033890	2e-78	NHGRI	19305409			
25	Hair Color	12913832	intron	HERC2	8924	HERC2	8924	15	28365618	1e-77	NHGRI	18483556			
26	Electrocardiography	6800541	intron	SCN10A	6336	SCN10A	6336	3	38774832	2e-74	NHGRI	20062060			
27	Erythrocyte Indices	7776054	intergenic	HBS1L	10767	MYB	4602	6	135418916	7e-69	NHGRI	19862010			
28	Glucose Transporter Type 2	560887	intron	G6PC2	57818	G6PC2	57818	2	169763148	2e-66	NHGRI	20081858			
29	Erythrocyte Indices	7775698	intergenic	HBS1L	10767	MYB	4602	6	135418635	3e-66	NHGRI	20139978			
30	Graves Disease	1521	intergenic	HLA-S	267015	MICA	4276	6	31350704	2e-65	NHGRI	21841780			
31	Graves Disease	2281388	intergenic	HLA-DPA2	646702	HLA-DPA2	646702	6	33060118	2e-65	NHGRI	21841780			
32	Hepatitis B, Chronic	3077	UTR-3	HLA-DPA1	3113	HLA-DPA1	3113	6	33033022	2e-61	NHGRI	21750111			
33	Erythrocyte Count	495828	intergenic	ABO	28	LCN1L2	653163	9	136154867	4e-59	NHGRI	20139978			
34	Haptoglobins	2000999	intron	HPR	3250	HPR	3250	16	72108093	8e-59	NHGRI	22403646			
35	Electrocardiography	6795970	missense	SCN10A	6336	SCN10A	6336	3	38766675	1e-58	NHGRI	20062063			
36	gamma-Glutamyltransferase	12229654	intergenic	MYL2	4633	CUX2	23316	12	111414461	9e-58	NHGRI	21909109			
37	Erythrocyte Indices	7775698	intergenic	HBS1L	10767	MYB	4602	6	135418635	3e-56	NHGRI	20139978			
38	Hemoglobin A, Glycosylated	16926246	intron	HK1	3098	HK1	3098	10	71093392	3e-54	NHGRI	20858683			
39	Hepatitis B, Chronic	9277535	UTR-3	HLA-DPB1	3115	HLA-DPB1	3115	6	33054861	3e-54	NHGRI	21750111			
40	Eye Color	1667394	intron	HERC2	8924	HERC2	8924	15	28530182	2e-53	NHGRI	17952075			
41	gamma-Glutamyltransferase	4820599	intron	GGT1	2678	GGT1	2678	22	24990213	7e-53	NHGRI	21909109			
42	gamma-Glutamyltransferase	4820599	nearGene-5	C22orf36	388886	C22orf36	388886	22	24990213	7e-53	NHGRI	21909109			
43	Eye Color	12913832	intron	HERC2	8924	HERC2	8924	15	28365618	3e-52	NHGRI	20585627			
44	fibrin fragment D [Supplementary Concept]	12029080	intergenic	F3	2152	SLC44A3	126969	1	95053353	6e-52	NHGRI	21502573			
45	Graves Disease	4947296	intergenic	HCG22	285834	C6orf15	29113	6	31058178	4e-51	NHGRI	21841780			
46	Hodgkin Disease	6903608	intergenic	HLA-DRB9	3132	HLA-DRB5	3127	6	32428285	3e-50	NHGRI	21037568			
47	Hair Color	12896399	intergenic	CPSF2	53981	SLC24A4	123041	14	92773663	1e-48	NHGRI	17952075			
48	Erythrocyte Count	9483788	intergenic	HBS1L	10767	MYB	4602	6	135435501	1e-47	NHGRI	19862010			
49	Erythrocyte Indices	1800562	missense	HFE	3077	HFE	3077	6	26093141	1e-46	NHGRI	19862010			
50	Glomerular Filtration Rate	4440473	UTR-3	FUT9	10690	FUT9	10690	6	96652706	7.41271116573166e-46	dbGaP	17903292	1270	7	Framingham Cohort
51	Glomerular Filtration Rate	4440473	UTR-3	FUT9	10690	FUT9	10690	6	96652706	7.41271116573166e-46	dbGaP	17903292	1270	342	NHLBI Framingham SNP Health Association Resource (SHARe)
52	Electrocardiography	12029454	intron	NOS1AP	9722	NOS1AP	9722	1	162133117	3e-45	NHGRI	19305408			
53	gamma-Glutamyltransferase	7310409	intron	HNF1A	6927	HNF1A	6927	12	121424861	7e-45	NHGRI	22001757			
54	Glucose Tolerance Test	2191349	intergenic	EEF1A1P26	100128637	TMEM195	392636	7	15064309	3e-44	NHGRI	20081858			
55	gamma-Glutamyltransferase	11066453	intergenic	OAS1	4938	OAS3	4940	12	113365621	6e-44	NHGRI	21909109			
