#	Trait	SNP rs	Context	Gene	Gene ID	Gene 2	Gene ID 2	Chromosome	Location	P-Value	Source	PubMed	Analysis ID	Study ID	Study Name
1	Psoriasis	10484554	intergenic	WASF5P	387122	HLA-B	3106	6	31274555	4e-214	NHGRI	20953190			
2	Phospholipids	102275	intron	C11orf10	746	C11orf10	746	11	61557803	1e-203	NHGRI	22359512			
3	Protein C	867186	missense	PROCR	10544	PROCR	10544	20	33764554	2e-200	NHGRI	20802025			
4	Phospholipids	174547	intron	FADS1	3992	FADS1	3992	11	61570783	4e-154	NHGRI	21829377			
5	Phospholipids	102275	intron	C11orf10	746	C11orf10	746	11	61557803	8e-153	NHGRI	21829377			
6	Phospholipids	1535	intron	FADS2	9415	FADS2	9415	11	61597972	3e-152	NHGRI	21829377			
7	Phospholipids	174535	cds-synon	C11orf9	745	C11orf9	745	11	61551356	1e-151	NHGRI	21829377			
8	Phospholipids	4246215	UTR-3	FEN1	2237	FEN1	2237	11	61564299	1e-139	NHGRI	21829377			
9	Psoriasis	12191877	intergenic	RPL3P2	116935	WASF5P	387122	6	31252925	1e-100	NHGRI	19169254			
10	Nonalcoholic Fatty Liver Disease	2014355	intron	ACADS	35	ACADS	35	12	121175524	5e-96	NHGRI	20037589			
11	Nasopharyngeal Neoplasms	2860580	intergenic	P5.8	352995	HCG4P5	353003	6	29906691	5e-67	NHGRI	20512145			
12	Parkinson Disease	356219	intergenic	GPRIN3	285513	SNCA	6622	4	90637601	6e-65	NHGRI	22438815			
13	Phospholipids	174547	intron	FADS1	3992	FADS1	3992	11	61570783	3e-64	NHGRI	21829377			
14	Phospholipids	102275	intron	C11orf10	746	C11orf10	746	11	61557803	7e-64	NHGRI	21829377			
15	Nonalcoholic Fatty Liver Disease	211718	intergenic	RPL29P5	646417	ACADM	34	1	76106675	1e-63	NHGRI	20037589			
16	Phospholipids	174536	intron	C11orf9	745	C11orf9	745	11	61551927	1e-63	NHGRI	21829377			
17	Phospholipids	1535	intron	FADS2	9415	FADS2	9415	11	61597972	3e-63	NHGRI	21829377			
18	P-Selectin	6136	missense	SELP	6403	SELP	6403	1	169563951	4e-61	NHGRI	20167578			
19	Nonalcoholic Fatty Liver Disease	2286963	missense	ACADL	33	ACADL	33	2	211060050	3e-60	NHGRI	20037589			
20	Phospholipids	174448	intergenic	FADS2	9415	FADS3	3995	11	61639573	3e-60	NHGRI	21829377			
21	Phospholipids	4246215	UTR-3	FEN1	2237	FEN1	2237	11	61564299	9e-60	NHGRI	21829377			
22	Phospholipids	174538	UTR-5	C11orf10	746	C11orf10	746	11	61560081	5e-58	NHGRI	21829377			
23	Phospholipids	174538	nearGene-5	FEN1	2237	FEN1	2237	11	61560081	5e-58	NHGRI	21829377			
24	Phospholipids	174535	cds-synon	C11orf9	745	C11orf9	745	11	61551356	6e-58	NHGRI	21829377			
25	Phospholipids	174550	intron	FADS1	3992	FADS1	3992	11	61571478	1e-57	NHGRI	21829377			
26	Receptors, Interleukin-6	4129267	intron	IL6R	3570	IL6R	3570	1	154426264	2e-57	NHGRI	18464913			
27	Phospholipids	174574	intron	FADS2	9415	FADS2	9415	11	61600342	4e-55	NHGRI	21829377			
28	Phospholipids	4246215	UTR-3	FEN1	2237	FEN1	2237	11	61564299	6e-55	NHGRI	21829377			
29	Platelet Count	1354034	intron	ARHGEF3	50650	ARHGEF3	50650	3	56849749	3e-54	NHGRI	22139419			
30	Psoriasis	12191877	intergenic	RPL3P2	116935	WASF5P	387122	6	31252925	2.024e-51	dbGaP	0	2855	19	Collaborative Association Study of Psoriasis
31	Phytosterols	4245791	intron	ABCG8	64241	ABCG8	64241	2	44074431	2e-50	NHGRI	20529992			
32	Restless Legs Syndrome	2300478	intron	MEIS1	4211	MEIS1	4211	2	66781453	3e-49	NHGRI	21779176			
33	Platelet Count	7961894	intron	WDR66	144406	WDR66	144406	12	122365583	7e-48	NHGRI	19110211			
34	Parkinson Disease	356219	intergenic	GPRIN3	285513	SNCA	6622	4	90637601	2e-47	NHGRI	21292315			
35	Psoriasis	9468933	intergenic	WASF5P	387122	HLA-B	3106	6	31265057	1.621e-46	dbGaP	0	2855	19	Collaborative Association Study of Psoriasis
36	Prostate-Specific Antigen	17632542	missense	KLK3	354	KLK3	354	19	51361757	3e-46	NHGRI	21160077			
37	Platelet Count	7961894	intron	WDR66	144406	WDR66	144406	12	122365583	3e-44	NHGRI	19820697			
38	Phospholipids	3734398	UTR-3	ELOVL2	54898	ELOVL2	54898	6	10982973	1e-43	NHGRI	21829377			
39	Phospholipids	10468017	intergenic	RPL28P4	441726	LIPC	3990	15	58678512	7e-43	NHGRI	22359512			
40	P-Selectin	579459	intergenic	ABO	28	LCN1L2	653163	9	136154168	2e-41	NHGRI	20167578			
41	Neutrophils	4328821	intergenic	C3orf27	23434	RPN1	6184	3	128316435	5e-40	NHGRI	21738478			
42	Psoriasis	10484554	intergenic	WASF5P	387122	HLA-B	3106	6	31274555	2e-39	NHGRI	18369459			
43	Phospholipids	1321535	intergenic	ELOVL2	54898	ERVFRDE1	405754	6	11076026	1e-38	NHGRI	21829377			
44	Psoriasis	2894207	intergenic	WASF5P	387122	HLA-B	3106	6	31263751	3.766e-38	dbGaP	0	2855	19	Collaborative Association Study of Psoriasis
45	Paget's disease	1561570	intron	OPTN	10133	OPTN	10133	10	13155726	4e-38	NHGRI	21623375			
46	Protein C	6120849	intron	EDEM2	55741	EDEM2	55741	20	33730387	7e-37	NHGRI	20802025			
47	Psoriasis	2844627	intergenic	HCG27	253018	HLA-C	3107	6	31229462	2.307e-36	dbGaP	0	2855	19	Collaborative Association Study of Psoriasis
48	Phospholipids	4713103	intron	SYCP2L	221711	SYCP2L	221711	6	10969141	3e-36	NHGRI	21829377			
