#	Trait	SNP rs	Context	Gene	Gene ID	Gene 2	Gene ID 2	Chromosome	Location	P-Value	Source	PubMed	Analysis ID	Study ID	Study Name
1	Bilirubin	6742078	intron	UGT1A8	54576	UGT1A8	54576	2	234672639		NHGRI	19414484			
2	Bilirubin	6742078	intron	UGT1A6	54578	UGT1A6	54578	2	234672639		NHGRI	19414484			
3	Bilirubin	6742078	intron	UGT1A4	54657	UGT1A4	54657	2	234672639		NHGRI	19414484			
4	Bilirubin	6742078	intron	UGT1A1	54658	UGT1A1	54658	2	234672639		NHGRI	19414484			
5	Bilirubin	6742078	intron	UGT1A9	54600	UGT1A9	54600	2	234672639		NHGRI	19414484			
6	Bilirubin	6742078	intron	UGT1A3	54659	UGT1A3	54659	2	234672639		NHGRI	19414484			
7	Bilirubin	6742078	intron	UGT1A10	54575	UGT1A10	54575	2	234672639		NHGRI	19414484			
8	Bilirubin	6742078	intron	UGT1A7	54577	UGT1A7	54577	2	234672639		NHGRI	19414484			
9	Bilirubin	6742078	intron	UGT1A5	54579	UGT1A5	54579	2	234672639		NHGRI	19414484			
10	Cholesterol, HDL	3764261	intergenic	HERPUD1	9709	CETP	1071	16	56993324		NHGRI	20686565			
11	Arthritis, Rheumatoid	6910071	intron	C6orf10	10665	C6orf10	10665	6	32282854	1e-299	NHGRI	20453842			
12	Diabetes Mellitus, Type 1	3129871	nearGene-5	HLA-DRA	3122	HLA-DRA	3122	6	32406342	1.15e-299	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
13	Alzheimer Disease	2075650	intron	TOMM40	10452	TOMM40	10452	19	45395619	1e-295	NHGRI	20460622			
14	Diabetes Mellitus, Type 1	2395173	intergenic	BTNL2	56244	HLA-DRA	3122	6	32404859	1.19e-281	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
15	Diabetes Mellitus, Type 1	3135338	intergenic	BTNL2	56244	HLA-DRA	3122	6	32401217	1.59e-280	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
16	Butyrylcholinesterase	1803274	missense	BCHE	590	BCHE	590	3	165491280	6e-262	NHGRI	21862451			
17	Diabetes Mellitus, Type 1	2157051	intergenic	HLA-DQB1	3119	HLA-DQA2	3118	6	32658624	1.32e-252	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
18	Diabetes Mellitus, Type 1	1063355	UTR-3	HLA-DQB1	3119	HLA-DQB1	3119	6	32627714	1.33e-219	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
19	Drinking Behavior	671	STOP-GAIN	ALDH2	217	ALDH2	217	12	112241766	4e-211	NHGRI	21372407			
20	Diabetes Mellitus, Type 1	3129941	missense	C6orf10	10665	C6orf10	10665	6	32337686	1.37e-197	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
21	Diabetes Mellitus, Type 1	689	intron	INS-IGF2	723961	INS-IGF2	723961	11	2182224	5e-196	NHGRI	21829393			
22	Diabetes Mellitus, Type 1	689	intron	INS	3630	INS	3630	11	2182224	5e-196	NHGRI	21829393			
23	Diabetes Mellitus, Type 1	3129860	intergenic	BTNL2	56244	HLA-DRA	3122	6	32401079	8.62e-192	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
24	Diabetes Mellitus, Type 1	910049	intron	C6orf10	10665	C6orf10	10665	6	32315727	1.38e-188	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
25	C-Reactive Protein	2794520	intergenic	CRPP1	171422	CRP	1401	1	159678816	2e-186	NHGRI	21300955			
26	Arthritis, Rheumatoid	6457620	intergenic	HLA-DQB1	3119	HLA-DQA2	3118	6	32663999	4e-186	NHGRI	18794853			
27	Diabetes Mellitus, Type 1	3129882	intron	HLA-DRA	3122	HLA-DRA	3122	6	32409530	1.39e-178	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
28	Cholesterol, LDL	629301	UTR-3	CELSR2	1952	CELSR2	1952	1	109818306	1e-170	NHGRI	20686565			
29	Diabetes Mellitus, Type 1	9267992	intergenic	NOTCH4	4855	C6orf10	10665	6	32220397	2.98e-161	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
30	Diabetes Mellitus, Type 1	7745656	intergenic	HLA-DQB1	3119	HLA-DQA2	3118	6	32680970	3.18e-161	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
31	Diabetes Mellitus, Type 1	926070	intergenic	NOTCH4	4855	C6orf10	10665	6	32257566	3.19e-161	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
32	Diabetes Mellitus, Type 1	9268005	intergenic	NOTCH4	4855	C6orf10	10665	6	32224388	6.93e-161	dbGaP	0	2862	180	T1DGC: Genome-Wide Association Study in Type 1 Diabetes, 2008
