#	Trait	SNP rs	Context	Gene	Gene ID	Gene 2	Gene ID 2	Chromosome	Location	P-Value	Source	PubMed	Analysis ID	Study ID	Study Name
1	Vascular Endothelial Growth Factor A	4513773	intergenic	VEGFA	7422	C6orf223	221416	6	43925526		NHGRI	21757650			
2	Spondylitis, Ankylosing	7743761	intergenic	DHFRP2	729816	HLA-S	267015	6	31336100	5e-304	NHGRI	20062062			
3	Uric Acid	13129697	intron	SLC2A9	56606	SLC2A9	56606	4	9926967	2e-242	NHGRI	20884846			
4	Triglycerides	964184	nearGene-3	ZNF259	8882	ZNF259	8882	11	116648917	7e-240	NHGRI	20686565			
5	Spondylitis, Ankylosing	4349859	intergenic	HLA-S	267015	MICA	4276	6	31365787	1e-200	NHGRI	21743469			
6	Uric Acid	734553	intron	SLC2A9	56606	SLC2A9	56606	4	9923004	1e-192	NHGRI	19503597			
7	Warfarin	9923231	nearGene-5	VKORC1	79001	VKORC1	79001	16	31107689	3e-181	NHGRI	19300499			
8	Uric Acid	16890979	missense	SLC2A9	56606	SLC2A9	56606	4	9922167	7e-168	NHGRI	18834626			
9	Triglycerides	1260326	missense	GCKR	2646	GCKR	2646	2	27730940	6e-133	NHGRI	20686565			
10	Triglycerides	629301	UTR-3	CELSR2	1952	CELSR2	1952	1	109818306	6e-131	NHGRI	20686565			
11	Supranuclear Palsy, Progressive	8070723	intron	MAPT	4137	MAPT	4137	17	44081064	2e-118	NHGRI	21685912			
12	Triglycerides	12678919	intergenic	LPL	4023	RPL30P9	100270981	8	19844222	2e-115	NHGRI	20686565			
13	Vitamin D	2282679	intron	GC	2638	GC	2638	4	72608383	2e-109	NHGRI	20541252			
14	Survival	1435431	intergenic	RPS23P3	100271091	CENPC1	1060	4	67815879	3.5545082136712e-100	dbGaP	17903295	1970	342	NHLBI Framingham SNP Health Association Resource (SHARe)
15	Survival	1435431	intergenic	RPS23P3	100271091	CENPC1	1060	4	67815879	3.5545082136712e-100	dbGaP	17903295	1970	7	Framingham Cohort
16	Triglycerides	603446	intron	ZNF259	8882	ZNF259	8882	11	116654435	2e-86	NHGRI	21909109			
17	Warfarin	1057910	missense	CYP2C9	1559	CYP2C9	1559	10	96741053	3e-79	NHGRI	19300499			
18	Smoking	1051730	cds-synon	CHRNA3	1136	CHRNA3	1136	15	78894339	3e-73	NHGRI	20418890			
19	Uric Acid	7671266	intergenic	SLC2A9	56606	WDR1	9948	4	10056376	9e-71	NHGRI	21943158			
